access_index,state_bytes,rss_bytes
0,83621736,1034702848
100000,105298824,1105043456
200000,106305480,1068285952
300000,106305480,1110474752
400000,106305480,1110478848
500000,106305480,1110478848
600000,106436552,1110740992
700000,115915896,1124425728
800000,116922552,1130377216
900000,116922552,1131163648
1000000,116922552,1132494848
1100000,184713736,1208496128
1200000,245607608,1323728896
1300000,316678912,1428664320
1400000,329353568,1460125696
1500000,329807648,1460383744
1600000,331170752,1460649984
1700000,331170752,1461170176
1800000,331170752,1461170176
1900000,331170752,1461170176
2000000,331170752,1461170176
2100000,331170752,1461170176
2200000,331170752,1461170176
2300000,331170752,1461170176
2400000,331170752,1461170176
2500000,331170752,1461170176
2600000,331170752,1461170176
2700000,331170752,1461170176
2800000,331170752,1461694464
2900000,331170752,1463529472
3000000,331170752,1465384960
3100000,331170752,1468784640
3200000,331170752,1470922752
3300000,331170752,1471131648
3400000,331170752,1473822720
3500000,331170752,1474015232
3600000,331170752,1474015232
3700000,331170752,1474015232
3800000,331170752,1474015232
3900000,331170752,1474015232
4000000,331170752,1474015232
4100000,331170752,1474015232
4200000,331170752,1474015232
4300000,331170752,1474015232
4400000,331170752,1474015232
4500000,331170752,1476435968
4600000,331170752,1476636672
4700000,331170752,1476636672
4800000,331170752,1478787072
4900000,504077312,1630515200
5000000,525055352,1688899584
5100000,599366456,1771257856
5200000,649990576,1814282240
5300000,684268304,1856086016
5400000,734151952,1909616640
5500000,737527120,1911398400
5600000,739388456,1925582848
5700000,775836112,1963855872
5800000,777571120,1987698688
5900000,777571120,1987948544
6000000,777571120,1994240000
6100000,777571120,2000789504
6200000,777571120,2000789504
6300000,777571120,2000789504
6400000,777571120,2000789504
6500000,777571120,2000789504
6600000,777571120,2000789504
6700000,777571120,2000789504
6800000,777571120,2001051648
6900000,777571120,2001051648
7000000,777571120,2001051648
7100000,777571120,2001051648
7200000,777571120,2001313792
7300000,777571120,2001313792
7400000,777571120,2001313792
7500000,777571120,2001313792
7600000,777571120,2001313792
7700000,777571120,2001313792
7800000,777571120,2001313792
7900000,777571120,2001575936
8000000,777571120,2001575936
8100000,777571120,2001575936
8200000,777571120,2001575936
8300000,777571120,2001838080
8400000,777571120,2002886656
8500000,777571120,2003148800
8600000,777571120,2004983808
8700000,777571120,2007080960
8800000,777571120,2008915968
8900000,777571120,2010750976
9000000,777571120,2012360704
9100000,777571120,2013933568
9200000,777571120,2016858112
9300000,777571120,2019143680
9400000,777571120,2020208640
9500000,777571120,2022285312
9600000,777571120,2022547456
9700000,777571120,2022813696
9800000,777571120,2024382464
9900000,777571120,2025992192
10000000,777571120,2026479616
10100000,777571120,2026741760
10200000,777571120,2027003904
10300000,777571120,2027003904
10400000,777571120,2027266048
10500000,777571120,2027266048
10600000,777571120,2027794432
10700000,777571120,2028859392
10800000,777571120,2028314624
10900000,777571120,2028314624
11000000,777571120,2029101056
11100000,777571120,2029363200
11200000,777571120,2029363200
11300000,777571120,2029625344
11400000,777571120,2029887488
11500000,777571120,2029887488
11600000,777571120,2030948352
11700000,777571120,2032816128
11800000,1046779744,2258644992
11900000,1119523472,2369650688
12000000,1159200072,2409996288
12100000,1270571600,2551029760
12200000,1344393864,2628382720
12300000,1352455848,2598912000
12400000,1410480568,2677817344
12500000,1478667608,2767474688
12600000,1530419208,2837987328
12700000,1562932472,2863415296
12800000,1570214424,2877665280
12900000,1576340024,2883862528
13000000,1580139832,2886774784
13100000,1586195704,2892951552
13200000,1586195704,2893037568
13300000,1586195704,2896707584
13400000,1586195704,2896969728
13500000,1586265912,2896969728
13600000,1588514232,2896969728
13700000,1588514232,2896969728
13800000,1588514232,2896969728
13900000,1588514232,2896969728
14000000,1588514232,2896969728
14100000,1588514232,2896969728
14200000,1588514232,2896969728
14300000,1588514232,2896969728
14400000,1588514232,2896969728
14500000,1588514232,2896969728
14600000,1588514232,2896969728
14700000,1588514232,2895659008
14800000,1588514232,2895659008
14900000,1588514232,2895659008
15000000,1588514232,2895659008
15100000,1588514232,2902999040
